ds,yhat,yhat_lower,yhat_upper
2023-10-09 08:00:00,7.4516463912540125,7.450557927410612,7.45285752205257
2023-10-09 14:00:00,-13.529763642554483,-13.536874694183165,-13.52344121331334
2023-10-09 20:00:00,23.66936769539715,23.647809447860414,23.69384239586822
2023-10-10 08:00:00,26.201963556177922,26.164269522942632,26.243021844453704
2023-10-10 14:00:00,11.361321815084631,11.338122532408882,11.38655354436217
2023-10-10 20:00:00,50.70249817747513,50.56539685914187,50.8524991709831
2023-10-11 08:00:00,156.29989130965933,155.76485196691985,156.87015548068703
2023-10-11 14:00:00,142.23202968905872,141.62421320767328,142.88210747829578
2023-10-11 20:00:00,186.2515363879954,185.31838169382735,187.24417372014068
2023-10-12 08:00:00,114.03029195608269,113.3790268724958,114.7320011395933
2023-10-12 14:00:00,99.48134690830044,98.84361927495043,100.19326696186744
2023-10-12 20:00:00,144.90437878858626,143.85847862723892,146.0653182798439
2023-10-13 08:00:00,0.95975793700364,0.9521175652316066,0.9682621126165453
2023-10-13 14:00:00,-13.012384967842467,-13.14024653031447,-12.898096033890976
2023-10-13 20:00:00,33.36684625055165,33.04631584855875,33.73274162331377
2023-10-14 08:00:00,72.8742295071191,72.12241761104784,73.73199215696657
2023-10-14 14:00:00,61.599351890242126,60.9030117795294,62.38586269893387
2023-10-14 20:00:00,111.10697426854291,109.75779480149153,112.61375975953956
2023-10-15 08:00:00,160.91943932995267,158.82420295039273,163.26333989323746
2023-10-15 14:00:00,151.091162878603,148.99501695322581,153.42707197249314
2023-10-15 20:00:00,204.61258113527617,201.6403228164041,208.01373732901575
